Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
19161852,The Fifth Season (The Broken Earth #1),N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4,4.29,Orbit,Paperback,468,2015,2015,2022/08/24,2022/08/24,,,read,Such a strange book and lowkey confusing sometimes but still went slightly hard fr,,,1,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",5,3.96,Back Bay Books,Paperback,296,2007,2005,2022/08/21,2022/08/21,,,read,The end part had some weird stuff but overall was a banger frfr,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",5,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,2022/08/10,2022/08/10,,,read,easy 5 fr<br/>There’s just so many interesting small stories that he pulls together really well for an overarching narrative. Love the way he teaches using stories that’s just my goat fr,,,1,0
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""1250621798""","=""9781250621795""",4,3.84,Tor Books,Kindle Edition,416,2021,2021,2022/08/07,2022/08/07,,,read,3.5 so weird tbh but still alright ,,,1,0
34403860,"Sufficiently Advanced Magic (Arcane Ascension, #1)",Andrew Rowe,"Rowe, Andrew",,"=""""","=""""",3,4.11,,Kindle Edition,625,2017,2017,2022/07/29,2022/07/29,,,read,Like 3.5 lowkey mid but kinda fun I’ll continue reading ig,,,2,0
17182126,"Steelheart (The Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743564""","=""9780385743563""",5,4.14,Delacorte Press,Hardcover,386,2013,2013,2022/07/16,2022/07/16,,,read,Went just as hard as I remembered fr,,,2,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",0,4.40,Random House,Hardcover,272,2019,2019,,2022/07/13,to-read,to-read (#3),to-read,,,,0,0
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",4,4.57,Orion Children's Books,Kindle Edition,561,2016,2016,2022/06/12,2022/06/13,,,read,Also a 4.5 ,,,2,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627792120""","=""9781627792127""",4,4.46,Henry Holt & Company,Hardcover,480,2015,2015,2022/06/12,2022/06/12,,,read,"4.5, realistically it’s probably not amazing but it kinda went hard regardless ",,,1,0
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo",,"=""0399184414""","=""9780399184413""",4,3.98,Riverhead Books,Hardcover,81,2016,2014,2022/07/09,2022/07/09,,,read,4.5 wish it was a bit longer but it is called a brief history so whatever. Last chapter was so facts fr,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",4,4.50,Ballantine Books,Hardcover,476,2021,2021,2022/07/10,2022/07/10,,,read,4.25 lowkey some of the science seemed made up but whatever I liked it. Overall was a cute story despite the main events of the novel tbh ,,,1,0
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",5,4.07,Penguin Press,Hardcover,338,2017,2017,2022/07/10,2022/07/09,,,read,BANGER FR,,,1,0
33516773,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,"=""0399587195""","=""9780399587191""",5,4.31,Berkley,Paperback,460,2017,2014,2022/07/03,2022/07/03,,,read,BANGER FR it acc just went so crazy I couldn’t put it down and ended perfectly tbh,,,1,0
52225186,Eight Perfect Murders,Peter  Swanson,"Swanson, Peter",,"=""0062838202""","=""9780062838209""",4,3.63,William Morrow,Hardcover,270,2020,2020,2022/07/02,2022/07/02,,,read,4.25 I think. Loved it until certain parts of the ending. Some was just strange but still went pretty hard ,,,1,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",4,4.16,Harper Voyager,Kindle Edition,545,2018,2018,2022/07/01,2022/07/01,,,read,Couldn’t stop reading it but oh my god was it insanely violent. Basically tells the story of Japanese and Chinese cruelty towards each other but in a fictional land. Just so brutal and then main character is lowkey psycho ,,,1,0
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",4,4.54,Del Rey,Hardcover,525,2016,2016,2022/06/30,2022/06/29,,,read,I think I’ve realized that my issue with all these books is that there’s just no stakes. Our main character will be in an unwinnble spot but I just know him and his closest friends will survive no matter what. Still an enjoyable read but his plot armour is crazy fr,,,1,0
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",4,4.50,Del Rey,ebook,466,2015,2015,2022/06/29,2022/06/29,,,read,Like lowkey not amazing but once again could not put it down,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",4,4.27,Del Rey,Hardcover,382,2014,2014,2022/06/22,2022/06/21,,,read,Ridiculously violent tbh but still went kinda hard I couldn’t put it down fr,,,1,0
25895524,"Red Sister (Book of the Ancestor, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""1101988851""","=""9781101988855""",4,4.16,Ace,Hardcover,467,2017,2017,2022/06/20,2022/06/20,,,read,4.5 lowkey nothing was happening for like half the book but I still couldn’t stop reading it so this rating should be worse but idc,,,2,0
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""""","=""""",4,4.40,Knopf,Hardcover,339,2018,2018,2022/06/10,2022/06/03,,,read,First 2/3 ‘s could have been trimmed in half tbh but the last third was good idk alway good to learn more about relatively current events and how they’ve shaped todays landscape ,,,1,0
21897654,"Will to Survive (The Rule of Three, #3)",Eric Walters,"Walters, Eric",,"=""0374301816""","=""9780374301811""",4,4.34,"Farrar, Straus and Giroux (BYR)",Hardcover,320,2016,2016,2022/06/06,2022/06/06,,,read,Realistically these books are mid but idc I enjoy reading them every time ,,,1,0
